model,accuracy,precision,recall,f1
GAT,0.7357361536320624,0.7488811772978428,0.7357361536320624,0.7404337444394182
GCN,0.7783189535207348,0.7982856062248623,0.7783189535207348,0.7850452115978803
GraphSAGE,0.806429167826329,0.8337256482616101,0.806429167826329,0.8147800662926317
GIN,0.806429167826329,0.8294531183013965,0.806429167826329,0.8137920695419848
TransformerConv,0.8039242972446423,0.817897155764943,0.8039242972446423,0.8089968768226687
GINE,0.8089340384080156,0.8312096345590447,0.8089340384080156,0.8161747500359309
Logistic Regression,0.5733370442527136,0.535956605789817,0.5733370442527136,0.47431485915438587
Random Forest,0.6752017812413025,0.6537394140803687,0.6752017812413025,0.6514932007657266
Gradient Boosting,0.6753409407180629,0.6545939680229435,0.6753409407180629,0.6520763693722862
SVM (RBF),0.6752017812413025,0.6537394140803687,0.6752017812413025,0.6514932007657266
XGBoost,0.6736710269969385,0.6509495407718988,0.6736710269969385,0.6470905674896893
