model,accuracy,precision,recall,f1
GAT,0.7548438985157564,0.7851436978278122,0.7548438985157564,0.7626901993498916
GCN,0.8313957739270308,0.8423406291737667,0.8313957739270308,0.8333381049339168
GraphSAGE,0.9209621993127147,0.9228486178865877,0.9209621993127147,0.9216364274354766
GIN,0.9052423777144111,0.9077016411233411,0.9052423777144111,0.9061421635685354
TransformerConv,0.9042918768735834,0.9056231985293686,0.9042918768735834,0.9047781201680533
GINE,0.9271770125027419,0.9285973747622299,0.9271770125027419,0.9276332344082043
Logistic Regression,0.5530452584631133,0.47611972700179245,0.5530452584631133,0.45606319402766377
Random Forest,0.6619872779118228,0.6411360454478078,0.6619872779118228,0.6385857650117999
Gradient Boosting,0.6603056225780507,0.6412779753173349,0.6603056225780507,0.6395101463288446
SVM (RBF),0.6603787380273451,0.6390693705243833,0.6603787380273451,0.639154455215199
XGBoost,0.6609636616217006,0.6398882493191109,0.6609636616217006,0.6407207273962325
