model,accuracy,precision,recall,f1
GAT,0.8461833333333333,0.9069617738148821,0.8461833333333333,0.8658371685396739
GCN,0.8821833333333333,0.926252749046386,0.8821833333333333,0.8959400756411204
GraphSAGE,0.9331166666666667,0.9515633880891193,0.9331166666666667,0.9385271653447562
GIN,0.9325,0.9514670741586172,0.9325,0.9381981473856266
TransformerConv,0.9038666666666667,0.9346400749581566,0.9038666666666667,0.9132221465224992
GINE,0.9434333333333333,0.9570558713757139,0.9434333333333333,0.9474689234313642
Logistic Regression,0.8153833333333333,0.6648499802777778,0.8153833333333333,0.7324623599545856
Random Forest,0.8380333333333333,0.8346485722427287,0.8380333333333333,0.7846024214444318
Gradient Boosting,0.8615,0.8467702989741697,0.8615,0.8306680088927558
SVM (RBF),0.8390666666666666,0.8194661413972057,0.8390666666666666,0.7907809522356258
XGBoost,0.8564666666666667,0.8448451030325874,0.8564666666666667,0.8211075014146967
