model,accuracy,precision,recall,f1
GAT,0.6719342604298356,0.7042506992195021,0.6719342604298356,0.680602368307482
GCN,0.7302465233881164,0.7590856770078461,0.7302465233881164,0.7384125438663839
GraphSAGE,0.7597977243994943,0.7894157731526366,0.7597977243994943,0.7676068915042722
GIN,0.7550568900126422,0.777401963857027,0.7550568900126422,0.7616082789213953
TransformerConv,0.7683312262958281,0.7898773466270139,0.7683312262958281,0.7744126007986435
GINE,0.7629582806573957,0.7830791138370226,0.7629582806573957,0.7692211171165556
Logistic Regression,0.5330278128950695,0.46305485523750806,0.5330278128950695,0.4289325290754362
Random Forest,0.6425410872313527,0.6217337157433882,0.6425410872313527,0.6093295030131621
Gradient Boosting,0.6444374209860936,0.6243199554381577,0.6444374209860936,0.6164580338668221
SVM (RBF),0.6291087231352718,0.6093579622459169,0.6291087231352718,0.582900623851087
