scenario_id,error_rate,num_models_wrong,models_wrong
1599,1.0,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1742,1.0,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1874,1.0,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
181,1.0,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
532,1.0,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
541,1.0,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
236,1.0,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
994,1.0,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
950,1.0,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
147,1.0,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
772,1.0,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
696,0.9666666666666667,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
873,0.8636363636363636,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
186,0.8380952380952381,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1566,0.8333333333333334,5,"GAT, GCN, GIN, TransformerConv, GINE"
170,0.8333333333333334,5,"GCN, GraphSAGE, GIN, TransformerConv, GINE"
1781,0.7857142857142857,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
725,0.7733333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
991,0.75,5,"GAT, GCN, GIN, TransformerConv, GINE"
958,0.75,5,"GAT, GCN, GIN, TransformerConv, GINE"
947,0.75,5,"GAT, GCN, GIN, TransformerConv, GINE"
473,0.75,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1990,0.7466666666666667,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1198,0.7333333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1737,0.7160493827160493,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
593,0.7101449275362319,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1407,0.7070707070707071,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
428,0.7051282051282052,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1984,0.7,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1506,0.6802721088435374,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1317,0.6666666666666666,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1515,0.6666666666666666,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
466,0.6666666666666666,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1225,0.6666666666666666,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
723,0.6666666666666666,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
228,0.6666666666666666,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
626,0.6666666666666666,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1955,0.6666666666666666,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1753,0.6666666666666666,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1999,0.6666666666666666,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
736,0.6611111111111111,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
912,0.6463414634146342,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
120,0.6428571428571429,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1726,0.6416666666666667,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
323,0.6388888888888888,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1720,0.6333333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1543,0.6333333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1643,0.6333333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
615,0.6190476190476191,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1088,0.6182795698924731,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1995,0.6111111111111112,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
32,0.6111111111111112,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1561,0.6083333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
230,0.6074074074074074,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1367,0.6,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1555,0.6,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1583,0.599290780141844,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1544,0.5952380952380952,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1291,0.5952380952380952,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1352,0.5808383233532934,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1264,0.5698924731182796,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1830,0.5694444444444444,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
65,0.5602564102564103,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1915,0.5555555555555556,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1605,0.5555555555555556,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1246,0.5555555555555556,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1167,0.5555555555555556,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
483,0.5505952380952381,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1165,0.548689138576779,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
21,0.5448717948717948,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1066,0.5448343079922028,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
197,0.5445736434108527,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
504,0.5416666666666666,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1462,0.5416666666666666,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1858,0.5408163265306123,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
703,0.5391304347826087,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1429,0.5381263616557734,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1825,0.5378787878787878,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
439,0.536723163841808,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1268,0.5333333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1940,0.5333333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
146,0.5333333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
972,0.5333333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1033,0.5305555555555556,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
969,0.5277777777777778,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
538,0.5277777777777778,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
923,0.5260416666666666,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
456,0.5238095238095238,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
549,0.5168350168350169,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
637,0.5160256410256411,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
769,0.5104166666666666,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1440,0.5087145969498911,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
582,0.508130081300813,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
604,0.5070921985815603,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1188,0.5064102564102564,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
506,0.5042735042735043,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
100,0.5,5,"GAT, GCN, GIN, TransformerConv, GINE"
1764,0.5,3,"GAT, GCN, TransformerConv"
1651,0.5,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
119,0.5,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
720,0.5,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
521,0.5,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
879,0.5,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
780,0.5,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1013,0.5,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1016,0.5,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
137,0.5,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1443,0.5,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1973,0.5,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1827,0.5,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1374,0.5,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1616,0.49743589743589745,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1869,0.49382716049382713,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
318,0.49019607843137253,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1385,0.48756218905472637,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1968,0.4839924670433145,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
48,0.4803921568627451,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
43,0.48009950248756217,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
98,0.48,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1681,0.4791666666666667,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1772,0.47619047619047616,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1243,0.47435897435897434,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
714,0.47058823529411764,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
726,0.46855345911949686,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
990,0.46808510638297873,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1134,0.4666666666666667,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1169,0.4666666666666667,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1353,0.463768115942029,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
472,0.4574468085106383,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
967,0.45726495726495725,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1286,0.4551282051282051,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
758,0.45508274231678486,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1093,0.45454545454545453,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
560,0.45443645083932854,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1015,0.4523809523809524,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1,0.4523809523809524,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1838,0.45,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
979,0.44871794871794873,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
179,0.44871794871794873,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
945,0.4483204134366925,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1918,0.4444444444444444,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
202,0.4444444444444444,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
609,0.4444444444444444,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1484,0.4398148148148148,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
175,0.43896713615023475,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1023,0.43666666666666665,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1917,0.43333333333333335,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
693,0.43333333333333335,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
531,0.43333333333333335,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
417,0.43309859154929575,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
164,0.4303030303030303,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
760,0.42857142857142855,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
330,0.42857142857142855,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1952,0.42592592592592593,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1343,0.42592592592592593,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1902,0.42424242424242425,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
454,0.4230769230769231,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
917,0.4230769230769231,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
583,0.4222222222222222,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
890,0.4211195928753181,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
648,0.42105263157894735,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
373,0.42048929663608564,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
340,0.419811320754717,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
638,0.4176954732510288,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
837,0.4166666666666667,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
378,0.4166666666666667,5,"GAT, GCN, GIN, TransformerConv, GINE"
1233,0.4166666666666667,5,"GAT, GCN, GIN, TransformerConv, GINE"
1895,0.4166666666666667,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1860,0.4166666666666667,5,"GAT, GCN, GIN, TransformerConv, GINE"
1563,0.4166666666666667,5,"GAT, GCN, GIN, TransformerConv, GINE"
1951,0.4166666666666667,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1299,0.4166666666666667,5,"GAT, GCN, GIN, TransformerConv, GINE"
0,0.41555555555555557,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1880,0.41379310344827586,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1209,0.41333333333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
846,0.4126984126984127,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1144,0.4116809116809117,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
528,0.4116161616161616,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1253,0.41156462585034015,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1199,0.4114583333333333,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
385,0.4106813996316759,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
25,0.41025641025641024,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1142,0.41025641025641024,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1693,0.40763052208835343,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
155,0.4074074074074074,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1358,0.4074074074074074,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1334,0.40625,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
516,0.40412979351032446,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1473,0.4041095890410959,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1991,0.4036697247706422,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
157,0.4027777777777778,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
351,0.4015151515151515,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1863,0.4,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1794,0.4,5,"GAT, GCN, GIN, TransformerConv, GINE"
1996,0.4,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1761,0.4,5,"GAT, GCN, GIN, TransformerConv, GINE"
938,0.4,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1214,0.4,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1189,0.4,5,"GAT, GCN, GIN, TransformerConv, GINE"
719,0.4,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
659,0.4,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
499,0.4,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
342,0.4,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
450,0.39965986394557823,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
241,0.3984375,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
54,0.3969298245614035,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
1220,0.39615384615384613,6,"GAT, GCN, GraphSAGE, GIN, TransformerConv, GINE"
