Order_ID,Order_Date,Origin_City,Destination_City,Base_Lead_Time_Days,Scheduled_Lead_Time_Days,Actual_Lead_Time_Days,Delay_Days,Geopolitical_Risk_Index,Weather_Severity_Index,Inflation_Rate_Pct,Shipping_Cost_USD,Order_Weight_Kg,Route_Type_Atlantic,Route_Type_Commodity,Route_Type_Intra-Asia,Route_Type_Pacific,Route_Type_Suez,Transportation_Mode_Air,Transportation_Mode_Sea,Product_Category_Auto Parts,Product_Category_Consumer Electronics,Product_Category_Perishable Foods,Product_Category_Pharmaceuticals,Product_Category_Raw Materials,Product_Category_Semiconductors,Product_Category_Textiles,Delivery_Status_Late,Delivery_Status_On Time,Disruption_Event_Geopolitical Conflict (Route Diversion),Disruption_Event_Port Congestion,Disruption_Event_Severe Weather (Typhoon/Storm),Mitigation_Action_Taken_Expedited Air Freight,Mitigation_Action_Taken_Re-routing,Mitigation_Action_Taken_Standard Shipping
ORD-A5C7A8D7,2024-06-25,"Hamburg, DE","New York, US",12,15,18,3,0.74,5.8,2.96,12325.2,8586,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
ORD-358B0702,2025-04-14,"Shenzhen, CN","Rotterdam, NL",28,31,39,8,0.64,7.1,2.76,9950.21,7584,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
ORD-BB2427A8,2025-09-03,"Tokyo, JP","Singapore, SG",7,10,17,7,0.77,3.2,3.85,690.3,650,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
ORD-2F57A3C6,2025-08-22,"Shenzhen, CN","Rotterdam, NL",3,5,21,16,0.43,1.6,3.66,27993.12,1483,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
ORD-0660A71E,2025-08-26,"Mumbai, IN","Felixstowe, UK",24,27,34,7,0.36,3.0,3.72,8594.11,7899,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
ORD-641CDE8B,2024-09-04,"Hamburg, DE","New York, US",12,13,18,5,0.8,2.8,5.53,7182.45,7255,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
ORD-5889C6FF,2024-03-03,"Hamburg, DE","New York, US",12,15,19,4,0.74,6.4,3.11,9747.05,6790,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
ORD-ED7F314D,2025-05-18,"Shanghai, CN","Los Angeles, US",18,20,24,4,0.7,2.3,3.06,4157.01,4446,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
ORD-CFAA7C2E,2025-11-26,"Tokyo, JP","Singapore, SG",7,10,13,3,0.37,3.2,2.24,4288.17,5691,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
ORD-63BA676A,2025-09-20,"Shanghai, CN","Los Angeles, US",18,19,27,8,0.74,8.0,4.06,10066.25,6428,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
